potential_fn,dimension,repeat,method,ESS,runtime_sec,JS_distance,n_particles
banana,20,0,single@10000,9901.63193359375,25.6084098815918,0.1427053270207095,10000
banana,20,1,single@10000,9933.976416015625,12.522584438323976,0.1317598232438535,10000
banana,20,2,single@10000,9889.304248046876,12.607874870300291,0.1308692400280391,10000
banana,20,3,single@10000,9874.46201171875,12.572994947433472,0.1407223176754683,10000
banana,20,4,single@10000,9804.2796875,12.677939414978027,0.1399236014539493,10000
bimodal_gaussian,20,0,single@10000,9916.48427734375,13.010316610336304,0.0441774630880514,10000
bimodal_gaussian,20,1,single@10000,9854.77958984375,12.89782977104187,0.0428913688857303,10000
bimodal_gaussian,20,2,single@10000,9900.777490234375,12.815110206604004,0.0449620387709129,10000
bimodal_gaussian,20,3,single@10000,9887.5134765625,12.826746940612791,0.047563358977789,10000
bimodal_gaussian,20,4,single@10000,9851.039208984375,12.912118434906006,0.0450835766130829,10000
funnel,20,0,single@10000,9817.17060546875,12.618206977844238,0.044296601783735,10000
funnel,20,1,single@10000,9876.298486328124,12.846518516540527,0.0448285229766685,10000
funnel,20,2,single@10000,9951.662939453125,12.740434169769289,0.0442794813157704,10000
funnel,20,3,single@10000,9860.762255859376,12.7333242893219,0.0443826909474984,10000
funnel,20,4,single@10000,9935.459033203126,12.421985864639282,0.0441647548397832,10000
correlated_gaussian,20,0,single@10000,9836.65205078125,12.832260131835938,0.0442632762622579,10000
correlated_gaussian,20,1,single@10000,9886.29580078125,12.475369215011597,0.046128302407366,10000
correlated_gaussian,20,2,single@10000,9909.846875,12.795881748199465,0.0455656619958441,10000
correlated_gaussian,20,3,single@10000,9877.2625,12.834274291992188,0.0451612883099884,10000
correlated_gaussian,20,4,single@10000,9857.289599609376,12.41143560409546,0.0454579154722142,10000
banana,50,0,single@10000,9871.3363671875,23.829190969467163,0.0968147071279441,10000
banana,50,1,single@10000,9887.5206640625,16.05524706840515,0.0941722102913609,10000
banana,50,2,single@10000,9875.0416796875,15.36812949180603,0.0890133685433456,10000
banana,50,3,single@10000,9808.23771484375,15.447974681854248,0.0941002423416938,10000
banana,50,4,single@10000,9845.67734375,16.112420797348022,0.1087272047158704,10000
bimodal_gaussian,50,0,single@10000,9864.61271484375,15.38598608970642,0.0439368524833179,10000
bimodal_gaussian,50,1,single@10000,9803.52291015625,15.39829421043396,0.0442072812210727,10000
bimodal_gaussian,50,2,single@10000,9767.49958984375,16.228046655654907,0.0443124675691674,10000
bimodal_gaussian,50,3,single@10000,9779.48513671875,15.342815160751345,0.0469331487074717,10000
bimodal_gaussian,50,4,single@10000,9857.015546875,15.55886173248291,0.0446741671931176,10000
funnel,50,0,single@10000,9828.24779296875,16.59682059288025,0.0445258819526121,10000
funnel,50,1,single@10000,9855.12279296875,15.498684167861938,0.0451790239926347,10000
funnel,50,2,single@10000,9803.1480859375,15.415891408920288,0.0448678806360424,10000
funnel,50,3,single@10000,9844.50744140625,16.351993560791016,0.0453206074092567,10000
funnel,50,4,single@10000,9850.05447265625,15.4580237865448,0.0450305752530336,10000
correlated_gaussian,50,0,single@10000,9828.95453125,15.673072814941406,0.0443488647134677,10000
correlated_gaussian,50,1,single@10000,9897.12291015625,15.650951862335203,0.0444503146171992,10000
correlated_gaussian,50,2,single@10000,9829.20705078125,16.543807983398438,0.0439830967220804,10000
correlated_gaussian,50,3,single@10000,9773.0464453125,15.64540195465088,0.0437745716591604,10000
correlated_gaussian,50,4,single@10000,9806.61841796875,15.58338499069214,0.0448923173320684,10000
rosenbrock,20,0,single@10000,9804.705078125,24.087732791900635,0.0770451838795264,10000
rosenbrock,20,1,single@10000,9851.052294921876,10.651190280914308,0.0778859246527001,10000
rosenbrock,20,2,single@10000,9908.501123046875,10.53536057472229,0.0782365046000174,10000
rosenbrock,20,3,single@10000,9789.419775390625,10.613735437393188,0.0769114117154594,10000
rosenbrock,20,4,single@10000,9802.7052734375,10.600334644317629,0.075559613704257,10000
gaussian_ring,20,0,single@10000,9821.228198242188,11.005543231964111,0.0590304281378341,10000
gaussian_ring,20,1,single@10000,9850.298193359376,10.925156116485596,0.0605476855797042,10000
gaussian_ring,20,2,single@10000,9816.448486328123,10.731189966201782,0.0568123184171253,10000
gaussian_ring,20,3,single@10000,9921.73671875,11.0846266746521,0.0593187468148952,10000
gaussian_ring,20,4,single@10000,9870.509814453126,10.875738143920898,0.052352661566575,10000
rosenbrock,50,0,single@10000,9883.7451953125,20.615461826324463,0.0571390213796146,10000
rosenbrock,50,1,single@10000,9826.592421875,11.454019784927368,0.0566563258202996,10000
rosenbrock,50,2,single@10000,9883.04140625,11.680419921875,0.0568350733812914,10000
rosenbrock,50,3,single@10000,9891.08248046875,11.725454092025757,0.056969554137959,10000
rosenbrock,50,4,single@10000,9884.449453125,11.815455675125122,0.0564688674534472,10000
