target,dim,rep,draw,JS,JS_dim0,JS_dim1,JS_rest,ED
rosenbrock,20,0,potential_law_10000,0.06800580251433543,0.310059024139217,0.2907552399749809,0.042183432565139484,0.6466107290876302
rosenbrock,20,0,reference_law_10000,0.04353866791571988,,,,-0.002985580406575039
rosenbrock,20,1,potential_law_10000,0.06937504666588865,0.3070211376684545,0.28911671416401435,0.04396461563807245,0.5862216508335845
rosenbrock,20,1,reference_law_10000,0.04252549269158313,,,,-0.0025924032635220584
rosenbrock,20,2,potential_law_10000,0.06885870757789977,0.30657277982662523,0.2873864129922169,0.0435119421521752,0.667689617019521
rosenbrock,20,2,reference_law_10000,0.041981844008568706,,,,-0.0035549517230233363
rosenbrock,20,3,potential_law_10000,0.06873640881737185,0.30361307582569874,0.2901788507765808,0.04338534720806431,0.5996409462682042
rosenbrock,20,3,reference_law_10000,0.04332775150242667,,,,-0.0021013410266146337
rosenbrock,20,4,potential_law_10000,0.06881828559665024,0.3081516637936523,0.28767421181788294,0.04336332424008165,0.6683732052552891
rosenbrock,20,4,reference_law_10000,0.043954114160722244,,,,-0.0011098386655437054
rosenbrock,50,0,potential_law_10000,0.05351453435384259,0.3026307527245605,0.28784241960467727,0.04344278219506024,0.5144825442282634
rosenbrock,50,0,reference_law_10000,0.04341263569833059,,,,0.014800535028282269
rosenbrock,50,1,potential_law_10000,0.053520178915055235,0.3021986563154881,0.28891531287022876,0.04343531201181344,0.5074704756570405
rosenbrock,50,1,reference_law_10000,0.04341115852399291,,,,0.0012450908589034526
rosenbrock,50,2,potential_law_10000,0.05343867110165194,0.30470602343065634,0.2905271607064161,0.0432645910613651,0.5486686417560342
rosenbrock,50,2,reference_law_10000,0.04382909326486672,,,,0.0012885315364723482
rosenbrock,50,3,potential_law_10000,0.05335081763143445,0.2999672910148537,0.2870104704564406,0.04334506500209224,0.4861685972806793
rosenbrock,50,3,reference_law_10000,0.04301919098035582,,,,-0.0020676174977634076
rosenbrock,50,4,potential_law_10000,0.053306285870191684,0.3020286117047674,0.28551598769614084,0.04328686862726408,0.4690856751586754
rosenbrock,50,4,reference_law_10000,0.04328909431895826,,,,-0.001883376557229255
gaussian_ring,20,0,potential_law_10000,0.056790773756872207,0.17707136770629633,0.181133020249951,0.04320061595451094,-0.0015683978933154208
gaussian_ring,20,0,reference_law_10000,0.044233988158250914,,,,-0.00022196226039561395
gaussian_ring,20,1,potential_law_10000,0.056506934662533,0.18104131856564457,0.18057171126870614,0.042695870189794954,-0.0018175727029312583
gaussian_ring,20,1,reference_law_10000,0.04428052818681376,,,,0.000993996747597592
gaussian_ring,20,2,potential_law_10000,0.057353934627341494,0.1748312253620068,0.18055318907520673,0.04398301545053424,0.0017181584032943675
gaussian_ring,20,2,reference_law_10000,0.044004688020486266,,,,0.008545324619756656
gaussian_ring,20,3,potential_law_10000,0.05702527616910498,0.17796285377622464,0.1785828854331483,0.043553321342929247,7.063100724558069e-05
gaussian_ring,20,3,reference_law_10000,0.0440053564686402,,,,0.00843208383794014
gaussian_ring,20,4,potential_law_10000,0.05729335406221196,0.17108803394213684,0.1823704763495972,0.04402269838625029,0.0004448845366358256
gaussian_ring,20,4,reference_law_10000,0.04364400442031801,,,,-0.0029009056482731665
