target,dim,rep,variant,JS
correlated_gaussian,20,0,pool_uniform_exact,0.04303824147484079
correlated_gaussian,20,0,pool_uniform_tempered,0.04988507766702934
correlated_gaussian,20,0,tempered_full_aggregation,0.08304275758695093
correlated_gaussian,20,1,pool_uniform_exact,0.04413142480068474
correlated_gaussian,20,1,pool_uniform_tempered,0.0494816671073997
correlated_gaussian,20,1,tempered_full_aggregation,0.08140222420930021
correlated_gaussian,20,2,pool_uniform_exact,0.04429466068405467
correlated_gaussian,20,2,pool_uniform_tempered,0.0501480435501583
correlated_gaussian,20,2,tempered_full_aggregation,0.08724685715202807
correlated_gaussian,20,3,pool_uniform_exact,0.044126939609727446
correlated_gaussian,20,3,pool_uniform_tempered,0.05048392355011626
correlated_gaussian,20,3,tempered_full_aggregation,0.08394945148592263
correlated_gaussian,20,4,pool_uniform_exact,0.04459711244415419
correlated_gaussian,20,4,pool_uniform_tempered,0.04996558521378926
correlated_gaussian,20,4,tempered_full_aggregation,0.0886567085293595
correlated_gaussian,50,0,pool_uniform_exact,0.0440440532372899
correlated_gaussian,50,0,pool_uniform_tempered,0.05041721758300552
correlated_gaussian,50,0,tempered_full_aggregation,0.07697814205475195
correlated_gaussian,50,1,pool_uniform_exact,0.04356032812853378
correlated_gaussian,50,1,pool_uniform_tempered,0.050689670980364324
correlated_gaussian,50,1,tempered_full_aggregation,0.074879255235017
correlated_gaussian,50,2,pool_uniform_exact,0.043354928420518954
correlated_gaussian,50,2,pool_uniform_tempered,0.05039903296684653
correlated_gaussian,50,2,tempered_full_aggregation,0.07524343540758219
correlated_gaussian,50,3,pool_uniform_exact,0.04310994004997084
correlated_gaussian,50,3,pool_uniform_tempered,0.05048200485007524
correlated_gaussian,50,3,tempered_full_aggregation,0.07522543553954844
correlated_gaussian,50,4,pool_uniform_exact,0.043654995926126754
correlated_gaussian,50,4,pool_uniform_tempered,0.05009393719290732
correlated_gaussian,50,4,tempered_full_aggregation,0.07656725097746991
funnel,20,0,pool_uniform_exact,0.043672592712440964
funnel,20,0,pool_uniform_tempered,0.06331119915631667
funnel,20,0,tempered_full_aggregation,0.0749985513362014
funnel,20,1,pool_uniform_exact,0.0420475760354521
funnel,20,1,pool_uniform_tempered,0.06466852017152687
funnel,20,1,tempered_full_aggregation,0.07321772820354625
funnel,20,2,pool_uniform_exact,0.04523750879199752
funnel,20,2,pool_uniform_tempered,0.06283867797424582
funnel,20,2,tempered_full_aggregation,0.07469987238320372
funnel,20,3,pool_uniform_exact,0.044061494236553866
funnel,20,3,pool_uniform_tempered,0.06379757057528677
funnel,20,3,tempered_full_aggregation,0.07707067780886248
funnel,20,4,pool_uniform_exact,0.04379948182372568
funnel,20,4,pool_uniform_tempered,0.06424184830636184
funnel,20,4,tempered_full_aggregation,0.07677597475391858
funnel,50,0,pool_uniform_exact,0.04374426286527941
funnel,50,0,pool_uniform_tempered,0.08389701278176345
funnel,50,0,tempered_full_aggregation,0.08085035751764956
funnel,50,1,pool_uniform_exact,0.04314061834026091
funnel,50,1,pool_uniform_tempered,0.0848199246356261
funnel,50,1,tempered_full_aggregation,0.08082831499464647
funnel,50,2,pool_uniform_exact,0.04357343858035117
funnel,50,2,pool_uniform_tempered,0.08306741292553543
funnel,50,2,tempered_full_aggregation,0.08150894840863131
funnel,50,3,pool_uniform_exact,0.044443125021252604
funnel,50,3,pool_uniform_tempered,0.08320390832808167
funnel,50,3,tempered_full_aggregation,0.081364146067874
funnel,50,4,pool_uniform_exact,0.0424697053056519
funnel,50,4,pool_uniform_tempered,0.08443977424267844
funnel,50,4,tempered_full_aggregation,0.07999144271349018
